"Sample.Name","Sample.Position","Data.File.POS"
"Blank1","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank1.POS.d"
"Blank2","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank2.POS.d"
"Blank3","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank3.POS.d"
"ConditionQC1","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC1.POS.d"
"ConditionQC2","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC2.POS.d"
"ConditionQC3","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC3.POS.d"
"ConditionQC4","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC4.POS.d"
"ConditionQC5","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC5.POS.d"
"ConditionQC6","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC6.POS.d"
"ConditionQC7","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC7.POS.d"
"ConditionQC8","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC8.POS.d"
"ConditionQC9","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC9.POS.d"
"ConditionQC10","Vial3","D:\MassHunter\Data\SXT\worklist POS\ConditionQC10.POS.d"
"validationQC1","Vial3","D:\MassHunter\Data\SXT\worklist POS\validationQC1.POS.d"
"Test.mix1","Vial2","D:\MassHunter\Data\SXT\worklist POS\Test.mix1.POS.d"
"QC1","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC1.POS.d"
"A1","P1-A1","D:\MassHunter\Data\SXT\worklist POS\A1.POS.d"
"A2","P1-A2","D:\MassHunter\Data\SXT\worklist POS\A2.POS.d"
"A3","P1-A3","D:\MassHunter\Data\SXT\worklist POS\A3.POS.d"
"A4","P1-A4","D:\MassHunter\Data\SXT\worklist POS\A4.POS.d"
"A5","P1-A5","D:\MassHunter\Data\SXT\worklist POS\A5.POS.d"
"A6","P1-A6","D:\MassHunter\Data\SXT\worklist POS\A6.POS.d"
"A7","P1-A7","D:\MassHunter\Data\SXT\worklist POS\A7.POS.d"
"A8","P1-A8","D:\MassHunter\Data\SXT\worklist POS\A8.POS.d"
"Blank4","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank4.POS.d"
"QC2","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC2.POS.d"
"A9","P1-A9","D:\MassHunter\Data\SXT\worklist POS\A9.POS.d"
"A10","P1-B1","D:\MassHunter\Data\SXT\worklist POS\A10.POS.d"
"A11","P1-B2","D:\MassHunter\Data\SXT\worklist POS\A11.POS.d"
"A12","P1-B3","D:\MassHunter\Data\SXT\worklist POS\A12.POS.d"
"A13","P1-B4","D:\MassHunter\Data\SXT\worklist POS\A13.POS.d"
"A14","P1-B5","D:\MassHunter\Data\SXT\worklist POS\A14.POS.d"
"A15","P1-B6","D:\MassHunter\Data\SXT\worklist POS\A15.POS.d"
"A16","P1-B7","D:\MassHunter\Data\SXT\worklist POS\A16.POS.d"
"Blank5","Vial1","D:\MassHunter\Data\SXT\worklist POS\Blank5.POS.d"
"QC3","Vial3","D:\MassHunter\Data\SXT\worklist POS\QC3.POS.d"
"A17","P1-B8","D:\MassHunter\Data\SXT\worklist POS\A17.POS.d"
"A18","P1-B9","D:\MassHunter\Data\SXT\worklist POS\A18.POS.d"
"A19","P1-C1","D:\MassHunter\Data\SXT\worklist POS\A19.POS.d"
"A20","P1-C2","D:\MassHunter\Data\SXT\worklist POS\A20.POS.d"
